goos: linux
goarch: amd64
pkg: pkt.systems/lql
cpu: 13th Gen Intel(R) Core(TM) i7-1355U
BenchmarkMutateStreamNumericPathSynthetic/large_array_numeric/reuse_program/writer_stream/warmup_included-12              	       1	 375663351 ns/op	1972803440 B/op	  145662 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_array_numeric/reuse_program/writer_stream/warmup_included-12              	       1	 391308603 ns/op	1972795888 B/op	  145609 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_array_numeric/reuse_program/writer_stream/steady_state-12                 	       1	 363167604 ns/op	1972794544 B/op	  145628 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_array_numeric/reuse_program/writer_stream/steady_state-12                 	       1	 367191961 ns/op	1972793096 B/op	  145619 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_array_numeric/reuse_program/writer_stream/steady_state-12                 	       1	 399377813 ns/op	1972793120 B/op	  145610 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_array_numeric/reuse_program/callback_raw_json/warmup_included-12          	       1	 410963641 ns/op	1972803056 B/op	  145661 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_array_numeric/reuse_program/callback_raw_json/warmup_included-12          	       1	 401723062 ns/op	1972788688 B/op	  145550 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_array_numeric/reuse_program/callback_raw_json/warmup_included-12          	       1	 368981329 ns/op	1972803056 B/op	  145620 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_array_numeric/reuse_program/callback_raw_json/steady_state-12             	       1	 383566752 ns/op	1972796488 B/op	  145630 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_array_numeric/reuse_program/callback_raw_json/steady_state-12             	       1	 375000366 ns/op	1972792488 B/op	  145606 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_array_numeric/reuse_program/callback_raw_json/steady_state-12             	       1	 376772731 ns/op	1972784016 B/op	  145568 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_single_numeric/reuse_program/writer_stream/warmup_included-12             	       1	 299435508 ns/op	1578323424 B/op	  121379 allocs/op
BenchmarkMutateStreamNumericPathSynthetic/large_single_numeric/reuse_program/writer_stream/warmup_included-12             	       1	 291900642 ns/op	1578316920 B/op	  121314 allocs/op
